top 10 cumulative:
Thu Oct 27 15:33:46 2011    sequencer.profile
       12    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
       24    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       12    0.000    0.000    0.002    0.000 sre_compile.py:480(_code)
       12    0.000    0.000    0.005    0.000 sre_compile.py:495(compile)
      166    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
      293    0.000    0.000    0.000    0.000 sre_parse.py:130(__getitem__)
       34    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      180    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
    87/34    0.000    0.000    0.000    0.000 sre_parse.py:140(getwidth)
       14    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
      774    0.001    0.000    0.001    0.000 sre_parse.py:182(__next)
      363    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
      599    0.000    0.000    0.001    0.000 sre_parse.py:201(get)
      154    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
       22    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
       18    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       12    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
