top 10 cumulative:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: cumulative time
   List reduced from 323 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     2612    0.060    0.000    0.060    0.000 {method 'lstrip' of 'str' objects}
    10461    0.094    0.000    0.094    0.000 {method 'release' of 'thread.lock' objects}
    15685    0.233    0.000    0.233    0.000 {method 'rfind' of 'str' objects}
     5228    6.232    0.001    6.232    0.001 {method 'sendall' of '_socket.socket' objects}
     2610    2.749    0.001    2.749    0.001 {method 'sendto' of '_socket.socket' objects}
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        3    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {min}
        1    0.000    0.000    0.000    0.000 {open}
       21    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 {posix.close}
     5228    0.033    0.000    0.033    0.000 {posix.getpid}
        1    0.000    0.000    0.000    0.000 {posix.open}
        1    0.000    0.000    0.000    0.000 {posix.read}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.KeyLocator_to_ccn}
        1    0.001    0.001    0.001    0.001 {pyccn._pyccn.PEM_read_key}
     2612    0.354    0.000    0.354    0.000 {pyccn._pyccn.SignedInfo_to_ccn}
        1    0.001    0.001    0.001    0.001 {pyccn._pyccn.connect}
     5224    0.059    0.000    0.059    0.000 {pyccn._pyccn.content_to_bytes}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.create}
     2612   65.197    0.025   65.257    0.025 {pyccn._pyccn.encode_ContentObject}
     5225    0.088    0.000    0.088    0.000 {pyccn._pyccn.is_upcall_executing}
     2614    0.229    0.000    0.229    0.000 {pyccn._pyccn.name_comps_from_ccn}
        3    0.000    0.000    0.000    0.000 {pyccn._pyccn.name_from_uri}
     5223    3.297    0.001    3.297    0.001 {pyccn._pyccn.name_to_uri}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_app_id}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.nc_app_key}
     3738    0.046    0.000    0.046    0.000 {pyccn._pyccn.nc_new_state}
     2611    0.914    0.000    0.914    0.000 {pyccn._pyccn.nc_verify_command}
     2611    4.960    0.002    5.073    0.002 {pyccn._pyccn.put}
        1    4.669    4.669  135.205  135.205 {pyccn._pyccn.run}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_interest_filter}
        1    0.000    0.000    0.000    0.000 {pyccn._pyccn.set_run_timeout}
        1    0.000    0.000    0.000    0.000 {range}
       50    0.001    0.000    0.001    0.000 {setattr}
     5228    0.113    0.000    0.113    0.000 {sys._getframe}
        6    0.000    0.000    0.000    0.000 {thread.allocate_lock}
    31378    0.198    0.000    0.198    0.000 {thread.get_ident}
    18290    0.177    0.000    0.177    0.000 {time.time}


overall by name:
Mon Jan 16 00:48:00 2012    symm_interface_0.profile

         1024843 function calls (878574 primitive calls) in 135.615 seconds

   Ordered by: function name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha1}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha224}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha256}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha384}
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        2    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
     7840    0.209    0.000    0.209    0.000 {_struct.pack}
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
     5228    1.859    0.000    1.859    0.000 {cPickle.dumps}
      256    0.002    0.000    0.002    0.000 {chr}
        1    0.001    0.001    0.001    0.001 {dir}
        1    0.000    0.000    0.000    0.000 {function seed at 0x405fc0f0}
     5280    0.070    0.000    0.070    0.000 {getattr}
        6    0.000    0.000    0.000    0.000 {globals}
    15690    0.255    0.000    0.255    0.000 {hasattr}
     7857    0.132    0.000    0.132    0.000 {isinstance}
        2    0.000    0.000    0.000    0.000 {issubclass}
     5228    0.119    0.000    0.232    0.000 __init__.py:81(<lambda>)
15757/13146    0.153    0.000    0.307    0.000 {len}
        1    0.000    0.000    0.000    0.000 {math.exp}
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 {math.sqrt}
    10462    0.200    0.000    0.200    0.000 {method 'acquire' of 'thread.lock' objects}
    10546    0.090    0.000    0.090    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
        3    1.132    0.377    1.132    0.377 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
